en,fr
"Does it apply to others, or does it apply to us?","est-ce que ça s'applique aux autres, ou est-ce que ça s'applique à nous ?"
This is another look at the tree of life.,Voici un autre regard sur l ’ arbre de la vie.
"In this picture, I've put a bush with a center branching out in all directions, because if you look at the edges of the tree of life, every existing species at the tips of those branches has succeeded in evolutionary terms: it has survived; it has demonstrated a fitness to its environment.","Dans cette photo, j ’ ai mis un buisson avec un centre et des branches qui partent dans toutes les directions, parce que si vous regardez sur les bords de l ’ arbre de la vie, chaque espèce vivante au bout de ces branches a réussi en terme d'évolution : elles ont survécu ; elles ont démontré qu'elles s'adaptaient à leur environnement."
"The human part of this branch, way out on one end, is, of course, the one that we are most interested in.","La partie humaine de cette branche, tout au bout d'un côté, est, bien sûr, celle à laquelle nous nous intéressons le plus."
We branch off of a common ancestor to modern chimpanzees about six or eight million years ago.,Nous descendons d ’ un ancêtre commun que nous partageons avec chimpanzés modernes il y a peu près six à huit millions d ’ années.
"In the interval, there have been perhaps 20 or 25 different species of hominids.","Dans cet intervalle, il y a eu a peu près 20 ou 25 espèces différentes d ’ hominidés."
Some have come and gone.,Certaines sont arrivées et reparties.
"We have been here for about 130,000 years.",Nous sommes ici depuis à peu près 130 000 ans.
"It may seem like we're quite remote from other parts of this tree of life, but actually, for the most part, the basic machinery of our cells is pretty much the same.","Il semblerait que nous soyons très éloignés des autres parties de cet arbre de la vie, mais en fait, pour la majeure partie, le mécanisme de base de nos cellules est à peu près le même."
Do you realize that we can take advantage and commandeer the machinery of a common bacterium to produce the protein of human insulin used to treat diabetics?,Vous rendez-vous compte que nous pourrions tirer avantage et réquisitionner le mécanisme d ’ une bactérie commune pour produire la protéine de l ’ insuline humaine utilisée pour traiter les diabétiques ?
This is not like human insulin; this is the same protein that is chemically indistinguishable from what comes out of your pancreas.,Ce n ’ est pas comme l ’ insuline humaine ; c ’ est la même protéine qui est chimiquement impossible à distinguer de celle qui sort de votre pancréas.
"And speaking of bacteria, do you realize that each of us carries in our gut more bacteria than there are cells in the rest of our body?","Et puisqu'on parle de bactéries, vous rendez-vous compte que chacun de nous a dans ses entrailles plus de bactéries qu'il n'y a de cellules dans le reste du corps ?"
Maybe 10 times more.,Probablement 10 fois plus.
"I mean think of it, when Antonio Damasio asks about your self-image, do you think about the bacteria?","Pensez-y, quand Antonio Damasio pose la question sur l ’ image de nous même, pensez-vous aux bactéries ?"
Our gut is a wonderfully hospitable environment for those bacteria.,Nos entrailles sont un environnement très favorable pour ces bactéries.
"It's warm, it's dark, it's moist, it's very cozy.","C ’ est chaud, c ’ est noir, c ’ est humide, c ’ est très douillet."
And you're going to provide all the nutrition that they could possibly want with no effort on their part.,Et vous fournissez tous les éléments nutritifs qu ’ ils veulent sans efforts de leurs parts.
"It's really like an Easy Street for bacteria, with the occasional interruption of the unintended forced rush to the exit.","C ’ est vraiment un paradis pour les bactéries, avec l ’ interruption occasionnelle de la force non intentionnelle qui les pousse vers la sortie."
"But otherwise, you are a wonderful environment for those bacteria, just as they are essential to your life.","Mais autrement, vous êtes un endroit merveilleux pour ces bactéries, tout comme elles sont essentielles à votre vie."
"They help in the digestion of essential nutrients, and they protect you against certain diseases.",Elles contribuent à digérer des nutriments essentiels. Et elles vous protègent de certaines maladies.
But what will come in the future?,Mais qu ’ arrivera-t-il dans le futur ?
Are we at some kind of evolutionary equipoise as a species?,Sommes-nous à un tournant de notre évolution en tant qu'espèce ?
"Or, are we destined to become something different — something, perhaps, even better adapted to the environment?","Ou, sommes nous destinés à devenir quelque chose de différent — peut-être même quelque chose de mieux adapté à l ’ environnement ?"
"Now let's take a step back in time to the Big Bang, 14 billion years ago — the Earth, the solar system, about four and a half billion years — the first signs of proto-life, maybe three to four billion years ago on Earth — the first multi-celled organisms, perhaps as much as 800 or a billion years ago — and then the human species, finally emerging in the last 130,000 years.","Remontons dans le temps jusqu'au Big Bang, il y a 14 milliards d ’ années — la terre, le système solaire, il y a peu près 4,5 milliards d ’ années — les premiers signes de proto-vie, peut-être il y a trois ou quatre milliards d ’ années sur terre — les premiers organismes pluricellulaires, il y a peut-être 800 millions ou un milliard d ’ années — et ensuite l ’ espèce humaine, qui émerge finalement dans les 130 000 dernières années."
"In this vast unfinished symphony of the universe, life on Earth is like a brief measure; the animal kingdom, like a single measure; and human life, a small grace note. That was us. That also constitutes the entertainment portion of this talk, so I hope you enjoyed it.","Dans cette vaste symphonie inachevée de l ’ univers, la vie sur terre la vie est une mesure très courte ; le règne animal, comme une seule mesure ; et la vie humaine, une petite note de grâce. Ça c ’ était nous. Ça représente également la partie amusante de ce discours, j ’ espère donc que vous l'avez appréciée."
(Laughter),(Rires)
"Now when I was a freshman in college, I took my first biology class.","Quand j ’ étais en première année de fac, j ’ ai eu mon premier cours de biologie."
I was fascinated by the elegance and beauty of biology.,J ’ étais fasciné par l ’ élégance et la beauté de la biologie.
"I became enamored of the power of evolution, and I realized something very fundamental: in most of the existence of life in single-celled organisms, each cell simply divides, and all of the genetic energy of that cell is carried on in both daughter cells.","Je suis tombé amoureux du pouvoir de l ’ évolution, et je me suis aperçu de quelque chose de fondamental : depuis que la vie existe, la plupart du temps, chez les organismes unicellulaires, chaque cellule se contente de se diviser, et toute l ’ énergie génétique de cette cellule est transmise aux deux cellules filles."
"But at the time multi-celled organisms come online, things start to change.","Mais à un certain moment surgissent les organismes pluricellulaires, les choses commencent à changer."
Sexual reproduction enters the picture.,La reproduction sexuée rentre en scène.
"And very importantly, with the introduction of sexual reproduction that passes on the genome, the rest of the body becomes expendable.","Et, très important, avec l ’ introduction de la reproduction sexuée qui transmet le génome, le reste du corps devient expansible."
"In fact, you could say that the inevitability of the death of our bodies enters in evolutionary time at the same moment as sexual reproduction.","En fait, on pourrait dire que l ’ inévitabilité de la mort de nos corps rentre dans le temps de l ’ évolution au même moment que la reproduction sexuée."
"Now I have to confess, when I was a college undergraduate, I thought, okay, sex / death, sex / death, death for sex — it seemed pretty reasonable at the time, but with each passing year, I've come to have increasing doubts.","Je dois avouer que quand j ’ étais étudiant en premier cycle, je pensais, d ’ accord, sexe / mort, sexe / mort, la mort en échange du sexe — ça semblait plutôt valable à l ’ époque, mais à chaque année qui passait, mes doutes grandissaient."
"I've come to understand the sentiments of George Burns, who was performing still in Las Vegas well into his 90s.","Je commençais à comprendre les sentiments de George Bruns, qui se produisait à Las Vegas à plus de 90 ans."
"And one night, there's a knock at his hotel room door. He answers the door. Standing before him is a gorgeous, scantily clad showgirl.","Et une nuit, quelqu ’ un frappe à la porte de sa chambre d ’ hôtel. Il ouvre. Devant lui cette merveilleuse show girl légèrement vêtue."
"She looks at him and says, ""I'm here for super sex."" ""That's fine,"" says George, ""I'll take the soup.""","Elle le regarde et dit, ""Je suis la pour du super sexe."" ""Très bien,"" dit George, ""Je prendrai la soupe."""
(Laughter),(Rires)
"I came to realize, as a physician, that I was working toward a goal which was different from the goal of evolution — not necessarily contradictory, just different.","Je me suis rendu compte en tant que médecin que je travaillais pour atteindre un objectif qui était différent de l ’ objectif de l ’ évolution — pas nécessairement contradictoire, mais différent."
I was trying to preserve the body.,J ’ essayais de conserver le corps.
I wanted to keep us healthy.,Je voulais nous maintenir en bonne santé.
I wanted to restore health from disease.,Je voulais restaurer la santé à partir de la maladie.
I wanted us to live long and healthy lives.,Je voulais que nous vivions longtemps et en bonne santé.
"Evolution is all about passing on the genome to the next generation, adapting and surviving through generation after generation. From an evolutionary point of view, you and I are like the booster rockets designed to send the genetic payload into the next level of orbit and then drop off into the sea.","L'évolution consiste à transmettre le génome à la génération suivante, en s ’ adaptant et en survivant génération après génération D ’ un point de vue évolutif, nous sommes vous et moi comme les moteurs de fusée conçu pour envoyer la charge génétique au prochain niveau d ’ orbite et ensuite retomber dans la mer."
"I think we would all understand the sentiment that Woody Allen expressed when he said, ""I don't want to achieve immortality through my work.","Je crois que nous comprenons tous le sentiment exprimé par Woody Allen quand il dit, ""Je ne veux pas atteindre l'immortalité grâce à mon œuvre."
"I want to achieve it through not dying. ""","Je veux atteindre l'immortalité en ne mourant pas. """
(Laughter),(Rires)
Evolution does not necessarily favor the longest-lived.,L ’ évolution ne favorise pas nécessairement une vie plus longue.
"It doesn't necessarily favor the biggest or the strongest or the fastest, and not even the smartest.","Elle ne favorise pas nécessairement le plus costaud le plus fort ou le plus rapide, et pas le plus intelligent non plus."
Evolution favors those creatures best adapted to their environment.,L ’ évolution favorise les créatures les mieux adaptées à l ’ environnement.
That is the sole test of survival and success.,C ’ est le seul test de survie et de réussite.
"At the bottom of the ocean, bacteria that are thermophilic and can survive at the steam vent heat that would otherwise produce, if fish were there, sous-vide cooked fish, nevertheless, have managed to make that a hospitable environment for them.","Tout au fond de l ’ océan, les bactéries qui sont thermophiles et peuvent survivre aux émanations de vapeur chaudes qui produirait autrement, si les poissons étaient la, du poisson cuit sous vide, et pourtant elles ont réussi à en faire un environnement qui leur est favorable."
"So what does this mean, as we look back at what has happened in evolution, and as we think about the place again of humans in evolution, and particularly as we look ahead to the next phase, I would say that there are a number of possibilities.","Alors qu'est-ce que ça signifie, quand on regarde en arrière à ce qui arrive à l ’ évolution, et quand on réfléchit encore à la place des humains dans l ’ évolution, et en particulier en regardant vers la prochaine phase, je dirais qu ’ il y a un certain nombre de possibilité."
The first is that we will not evolve.,La première est que nous n'évoluerons pas.
We have reached a kind of equipoise.,Nous avons atteint une sorte d'équilibre.
"And the reasoning behind that would be, first, we have, through medicine, managed to preserve a lot of genes that would otherwise be selected out and be removed from the population.","Et le raisonnement qui soutient ceci est que, premièrement, nous avons, à travers la médecine, réussi à préserver beaucoup de gênes qui autrement auraient été éliminés de la sélection et supprimés de la population."
"And secondly, we as a species have so configured our environment that we have managed to make it adapt to us as well as we adapt to it.","Deuxièmement, en tant qu'espèce nous avons configuré notre environnement de manière telle que nous avons réussi à l'adapter à nous tout comme nous nous adaptons à lui."
"And by the way, we immigrate and circulate and intermix so much that you can't any longer have the isolation that is necessary for evolution to take place.","Et d'ailleurs, nous immigrons et circulons nous nous mélangeons tellement que nous ne pouvons plus garder l ’ isolation qui est nécessaire à l ’ évolution."
"A second possibility is that there will be evolution of the traditional kind, natural, imposed by the forces of nature.","Une deuxième possibilité est qu ’ il y ait une évolution de type traditionnel, naturelle, imposée par les forces de la nature."
"And the argument here would be that the wheels of evolution grind slowly, but they are inexorable.","Et la discussion ici serait que les engrenages de l ’ évolution tournent lentement, mais inexorablement."
"And as far as isolation goes, when we as a species do colonize distant planets, there will be the isolation and the environmental changes that could produce evolution in the natural way.","Et pour ce qui est de l'isolation, quand en tant qu ’ espèce nous coloniserons des planètes lointaines, nous aurons l'isolation et les changements de l ’ environnement qui pourraient produire une évolution de manière naturelle."
"But there's a third possibility, an enticing, intriguing and frightening possibility.","Mais il y a une troisième possibilité, une possibilité attrayante, intrigante et effrayante."
"I call it neo-evolution — the new evolution that is not simply natural, but guided and chosen by us as individuals in the choices that we will make.","Je l ’ appelle néo-évolution — la nouvelle évolution qui n ’ est pas simplement naturelle, mais guidée et choisie par nous-mêmes les individus dans les choix que nous ferons."
Now how could this come about?,Comment cela peut-il arriver ?
How could it be possible that we would do this?,Comment se pourrait-il que nous le fassions ?
"Consider, first, the reality that people today, in some cultures, are making choices about their offspring.","Considérez d'abord le fait que les gens aujourd ’ hui, dans certaines cultures, font des choix quant à leur progéniture."
"They're, in some cultures, choosing to have more males than females.","Dans certaines cultures, ils choisissent d ’ avoir plus de garçons que de filles."
"It's not necessarily good for the society, but it's what the individual and the family are choosing.","Ce n ’ est pas nécessairement bien pour la société, mais c ’ est ce que les individus et la famille choisissent."
"Think also, if it were possible ever for you to choose, not simply to choose the sex of your child, but for you in your body to make the genetic adjustments that would cure or prevent diseases.","Pensez également, si jamais vous aviez la possibilité de choisir, de ne pas seulement choisir le sexe de votre enfant, mais pour vous dans votre corps de faire des ajustements génétiques qui pourraient guérir ou prévenir des maladies."
What if you could make the genetic changes to eliminate diabetes or Alzheimer's or reduce the risk of cancer or eliminate stroke?,Que se passerait-il si vous pouviez faire les changements génétiques pour éliminer le diabète ou l ’ Alzheimer ou réduire le risque de cancer ou éliminer les infarctus ?
Wouldn't you want to make those changes in your genes?,Vous ne voudriez pas faire ces changements dans vos gênes ?
"If we look ahead, these kind of changes are going to be increasingly possible.","Si nous nous projetons dans l'avenir, ce genre de changements sera de plus en plus possible."
"The Human Genome Project started in 1990, and it took 13 years.","Le Projet Génome Humain a débuté en 1990, et il lui a fallu 13 ans."
It cost 2.7 billion dollars.,"Il a coûté 2,7 milliards de dollars."
"The year after it was finished in 2004, you could do the same job for 20 million dollars in three to four months.",L ’ année après sa clôture en 2004 vous pouviez faire le même boulot pour 20 millions de dollars en trois ou quatre mois.
"Today, you can have a complete sequence of the three billion base pairs in the human genome at a cost of about 20,000 dollars and in the space of about a week.",Aujourd ’ hui vous pouvez faire une séquence complète des trois milliards de paire du génome humain pour environ 20 000 dollars en une semaine environ.
"It won't be very long before the reality will be the 1,000-dollar human genome, and it will be increasingly available for everyone.","9a ne prendra pas longtemps avant que la réalité ne soit le génome humain à 1 000 dollars, et ce sera de plus en plus à la portée de tous."
"Just a week ago, the National Academy of Engineering awarded its Draper Prize to Francis Arnold and Willem Stemmer, two scientists who independently developed techniques to encourage the natural process of evolution to work faster and to lead to desirable proteins in a more efficient way — what Frances Arnold calls ""directed evolution."" A couple of years ago, the Lasker Prize was awarded to the scientist Shinya Yamanaka for his research in which he took an adult skin cell, a fibroblast, and by manipulating just four genes, he induced that cell to revert to a pluripotential stem cell — a cell potentially capable of becoming any cell in your body.","Il y a juste une semaine, la National Academy of Engineering a décerné son Prix Draper à Francis Arnold et Willem Stemmer, deux scientifiques qui ont développé des techniques chacun de son côté pour encourager le processus naturel de l ’ évolution à aller plus vite pour nous amener aux protéines souhaitées de manière plus efficace — ce que Frances Arnold appelle ""l'évolution dirigée"" Il y a deux ans, le Prix Lasker a été décerné au scientifique Shinya Yamanaka pour ses recherches où il a pris une cellule de peau humaine adulte, un fibroblaste, et en ne manipulant que quatre gènes, il a amené la cellule à redevenir une cellule souche — une cellule potentiellement capable de devenir n ’ importe quelle cellule de notre corps."
"These changes are coming. The same technology that has produced the human insulin in bacteria can make viruses that will not only protect you against themselves, but induce immunity against other viruses.","Ces changements arrivent. La même technologie qui a produit l ’ insuline humaine dans les bactéries peut faire des virus qui non seulement nous protégerons contre eux-mêmes, mais produiront une immunité contre d ’ autres virus."
"Believe it or not, there's an experimental trial going on with vaccine against influenza that has been grown in the cells of a tobacco plant.","Croyez-le ou non, des expérimentations sont en cours avec les vaccins contre la grippe élevés dans des cellules d ’ un plant de tabac."
Can you imagine something good coming out of tobacco?,Pouvez-vous imaginer quelque chose de bon qui viennent du tabac ?
"These are all reality today, and [in] the future, will be evermore possible.","C ’ est une réalité aujourd ’ hui, et dans le futur, ce sera d'autant plus possible."
Imagine then just two other little changes.,Imaginez alors deux autres petits changements.
"You can change the cells in your body, but what if you could change the cells in your offspring?","Vous pouvez changer les cellules de votre corps, et si vous pouviez changer les cellules de votre progéniture ?"
"What if you could change the sperm and the ova, or change the newly fertilized egg, and give your offspring a better chance at a healthier life — eliminate the diabetes, eliminate the hemophilia, reduce the risk of cancer?","Si vous pouviez changer le sperme et les ovaires, ou changer l ’ œuf fécondé, et donner à votre progéniture de meilleures chances d ’ une vie en bonne santé — éliminer le diabète, éliminer l ’ hémophilie, réduire le risque de cancer ?"
Who doesn't want healthier children?,Qui ne veut pas un enfant en meilleure santé ?
"And then, that same analytic technology, that same engine of science that can produce the changes to prevent disease, will also enable us to adopt super-attributes, hyper-capacities — that better memory.","Et ensuite, cette même technologie analytique, ce même appareil scientifique qui peut produire les changements pour prévenir les maladies, nous permettra également d ’ avoir des super-attributs, des hyper-capacités — cette meilleure mémoire."
"Why not have the quick wit of a Ken Jennings, especially if you can augment it with the next generation of the Watson machine?","Pourquoi ne pas avoir l ’ esprit vif de Ken Jennings, en particulier si vous pouvez l ’ augmenter avec la génération suivante de la machine Watson ?"
Why not have the quick twitch muscle that will enable you to run faster and longer?,Pourquoi ne pas avoir cette réaction musculaire rapide qui nous permettrait de courir plus vite et plus longtemps ?
Why not live longer?,Pourquoi ne pas vivre plus longtemps ?
These will be irresistible.,Ces deux-là seront irrésistibles.
"And when we are at a position where we can pass it on to the next generation, and we can adopt the attributes we want, we will have converted old-style evolution into neo-evolution.","Et pendant que nous sommes à un point où nous pouvons le transmettre à la génération suivante, et nous pouvons adopter les attributs que nous voulons, nous aurons transformé une évolution à l'ancienne en une néo-évolution."
"We'll take a process that normally might require 100,000 years, and we can compress it down to a thousand years — and maybe even in the next 100 years.","Nous prendrons un processus qui nécessite normalement 100 000 ans, et nous le comprimerons à un millier d ’ années — peut-être même dans les 100 prochaines années."
"These are choices that your grandchildren, or their grandchildren, are going to have before them.","Ce sont des choix que vos petits-enfants, ou leurs petits-enfants, auront à faire."
"Will we use these choices to make a society that is better, that is more successful, that is kinder?","Utiliserons-nous ces choix pour faire une meilleure société, plus prospère, mieux intentionnée ?"
"Or, will we selectively choose different attributes that we want for some of us and not for others of us?","Ou bien choisirons-nous des attributs que nous voulons pour certains de nous, et pas pour d ’ autres ?"
"Will we make a society that is more boring and more uniform, or more robust and more versatile?","Ferons-nous une société plus ennuyeuse et plus uniforme, ou plus robuste et plus versatile ?"
These are the kinds of questions that we will have to face.,C ’ est le genre de questions auxquelles nous serons confrontés
"And most profoundly of all, will we ever be able to develop the wisdom, and to inherit the wisdom, that we'll need to make these choices wisely?","Et encore plus profondément, serons-nous capable de développer la sagesse, et hériter la sagesse, dont nous aurons besoin pour faire ces choix plus sagement ?"
"For better or worse, and sooner than you may think, these choices will be up to us.","Pour le meilleur et pour le pire, et plus tôt que vous ne le pensez, nous devrons faire ces choix."
Thank you.,Merci
(Applause),(Applaudissements)
"Good afternoon, everybody. I've got something to show you. (Laughter) Think about this as a pixel, a flying pixel.","Bonjour, tout le monde. J'ai quelque chose à vous montrer. (Rires) Imaginez que c'est un pixel, un pixel qui vole."
"This is what we call, in our lab, sensible design.","C'est ce que nous appelons, dans notre laboratoire, du design sensible."
Let me tell you a bit about it.,Permettez-moi de vous en parler un peu.
"Now if you take this picture — I'm Italian originally, and every boy in Italy grows up with this picture on the wall of his bedroom — but the reason I'm showing you this is that something very interesting happened in Formula 1 racing over the past couple of decades.","Si vous prenez cette photo - je suis italien à l'origine, et chaque garçon en Italie grandit avec cette photo sur le mur de sa chambre. Mais la raison pour laquelle je vous montre ça c'est que quelque chose de très intéressant s'est passé en course de Formule 1 au cours des deux dernières décennies."
"Now some time ago, if you wanted to win a Formula 1 race, you take a budget, and you bet your budget on a good driver and a good car.","Il y a quelque temps, si vous vouliez gagner une course de Formule 1, vous preniez un budget, et vous misiez votre budget sur un bon conducteur et une bonne voiture."
"And if the car and the driver were good enough, then you'd win the race.","Et si la voiture et le chauffeur étaient assez bons, alors vous gagniez la course."
"Now today, if you want to win the race, actually you need also something like this — something that monitors the car in real time, has a few thousand sensors collecting information from the car, transmitting this information into the system, and then processing it and using it in order to go back to the car with decisions and changing things in real time as information is collected.","Or, aujourd'hui, si vous voulez gagner la course, il vous faut en fait aussi quelque chose comme ça - quelque chose qui surveille la voiture en temps réel, possède quelques milliers de capteurs collecte les informations de la voiture, transmet ces informations au système, puis les traite et les utilise pour revenir à la voiture avec des décisions et changer les choses en temps réel pendant que les informations sont recueillies."
"This is what, in engineering terms, you would call a real time control system.","C'est ce qu'en termes d'ingénierie, on pourrait appeler un système de contrôle en temps réel."
"And basically, it's a system made of two components — a sensing and an actuating component.","Et au fond, c'est un système constitué de deux composantes - une composante de détection et une d'actionnement."
What is interesting today is that real time control systems are starting to enter into our lives.,Ce qui est intéressant aujourd'hui est que de véritables systèmes de contrôle en temps réel commencent à entrer dans nos vies.
"Our cities, over the past few years, just have been blanketed with networks, electronics.","Nos villes, au cours des dernières années, ont été complètement recouvertes de réseaux, d'électronique."
They're becoming like computers in open air.,Elles deviennent comme des ordinateurs à l'air libre.
"And, as computers in open air, they're starting to respond in a different way to be able to be sensed and to be actuated.","Et, comme les ordinateurs à l'air libre, elles commencent à répondre d'une manière différente pour pouvoir être détectées et pour être actionnées."
"If we fix cities, actually it's a big deal.","Si nous réparons les villes, en fait ce n'est pas rien."
"Just as an aside, I wanted to mention, cities are only two percent of the Earth's crust, but they are 50 percent of the world's population.","Soit dit en passant, je voulais mentionner, que les villes ne représentent que 2 % de la croûte terrestre, mais 50 % de la population mondiale."
They are 75 percent of the energy consumption — up to 80 percent of CO2 emissions.,Elles représentent 75 % de la consommation d'énergie - jusqu'à 80 % des émissions de CO2.
"So if we're able to do something with cities, that's a big deal.","Donc, si nous pouvons faire quelque chose avec les villes, ce n'est pas rien."
"Beyond cities, all of this sensing and actuating is entering our everyday objects.","Au-delà des villes, toute cette détection et cet actionnement entre dans nos objets quotidiens."
"That's from an exhibition that Paola Antonelli is organizing at MoMA later this year, during the summer.","Ça vient d'une exposition que Paola Antonelli organise au MoMA plus tard cette année, durant l'été."
"It's called ""Talk to Me."" Well our objects, our environment is starting to talk back to us.","Elle s'intitule ""Talk to Me"". Eh bien nos objets, notre environnement, commencent à nous répondre."
"In a certain sense, it's almost as if every atom out there were becoming both a sensor and an actuator.","Dans un sens, c'est presque comme si chaque atome là dehors devenait à la fois un capteur et un actionneur."
And that is radically changing the interaction we have as humans with the environment out there.,"Et c'est train de changer radicalement l'interaction que nous, humains, avons avec l'environnement là dehors."
"In a certain sense, it's almost as if the old dream of Michelangelo... you know, when Michelangelo sculpted the Moses, at the end it said that he took the hammer, threw it at the Moses — actually you can still see a small chip underneath — and said, shouted, ""Perché non parli?","Dans un certain sens, c'est presque comme dans le vieux rêve de Michel-Ange... vous savez, quand Michel-Ange a sculpté le Moïse, à la fin, il dit qu'il a pris le marteau, il l'a jeté à Moïse - en fait vous pouvez encore voir un petit éclat dessous - et a dit, crié, ""Perché Parli non ?"
"Why don't you talk? ""Well today, for the first time, our environment is starting to talk back to us.","Pourquoi ne parles-tu pas ? ""Eh bien aujourd'hui, pour la première fois, notre environnement commence à nous répondre."
"And I'll show just a few examples — again, with this idea of sensing our environment and actuating it.","Et je vais vous montrer quelques exemples - là encore, avec cette idée de détecter et d'actionner notre environnement."
"Let's starting with sensing. Well, the first project I wanted to share with you is actually one of the first projects by our lab.",Commençons par la détection. Eh bien le premier projet que je voulais partager avec vous est en fait l'un des premiers projets de notre laboratoire.
It was four and a half years ago in Italy.,Il a pris quatre ans et demi en Italie.
"And what we did there was actually use a new type of network at the time that had been deployed all across the world — that's a cellphone network — and use anonymous and aggregated information from that network, that's collected anyway by the operator, in order to understand how the city works.","Et ce que nous y avons fait c'était en fait utiliser un nouveau type de réseau à l'époque qui avait été déployé partout dans le monde - c'est un réseau de téléphonie cellulaire - et l'utilisation des informations anonymes et agrégées à partir de ce réseau, qui sont recueillies de toute façon par l'opérateur afin de comprendre comment la ville fonctionne."
The summer was a lucky summer — 2006.,L'été a été un été de chance - 2006.
It's when Italy won the soccer World Cup.,C'est quand l'Italie a remporté la Coupe du Monde.
"Some of you might remember, it was Italy and France playing, and then Zidane at the end, the headbutt.","Certains d'entre vous se souviennent peut-être, c'était Italie - France, puis Zidane à la fin, le coup de boule."
"And anyway, Italy won at the end.","Et enfin bref, l'Italie a gagné à la fin."
(Laughter),(Rires)
Now look at what happened that day just by monitoring activity happening on the network.,"Maintenant, regardez ce qui s'est passé ce jour-là rien qu'en surveillant l'activité sur le réseau."
Here you see the city.,Ici vous pouvez voir la ville.
"You see the Colosseum in the middle, the river Tiber.","Vous voyez le Colisée au milieu, le Tibre."
"It's morning, before the match.","C'est le matin, avant le match."
You see the timeline on the top.,Vous voyez le minutage en haut.
"Early afternoon, people here and there, making calls and moving.","Début d'après midi, les gens ici et là qui téléphonent et se déplacent."
"The match begins — silence. France scores. Italy scores. Halftime, people make a quick call and go to the bathroom. Second half. End of normal time.","Le match commence - silence. La France marque. l'Italie marque. La mi-temps, les gens passent un coup de fil rapide et vont aux toilettes. Deuxième mi-temps. Fin du temps réglementaire."
"First overtime, second.","Première prolongation, deuxième prolongation."
"Zidane, the headbutt in a moment. Italy wins. Yeah. (Laughter) (Applause) Well, that night, everybody went to celebrate in the center.","Zidane, le coup de boule dans un instant. L'Italie gagne. Oui. (Rires) (Applaudissements) Eh bien, cette nuit-là, tout le monde est allé célébrer dans le centre."
You saw the big peak.,Vous avez vu le grand pic.
"The following day, again everybody went to the center to meet the winning team and the prime minister at the time.","Le lendemain, tout le monde s'est rendu au centre pour rencontrer l'équipe gagnante et le Premier ministre de l'époque."
And then everybody moved down.,Et puis tout le monde s'est déplacé vers le bas.
"You see the image of the place called Circo Massimo, where, since Roman times, people go to celebrate, to have a big party, and you see the peak at the end of the day.","Vous voyez l'image de l'endroit appelé Circo Massimo, où, depuis l'époque romaine, les gens vont pour célébrer - pour faire une grande fête, et vous voyez le pic à la fin de la journée."
"Well, that's just one example of how we can sense the city today in a way that we couldn't have done just a few years ago.","Eh bien, c'est juste un exemple de la façon dont nous pouvons sentir la ville aujourd'hui, comme nous n'aurions pas pu le faire il y a seulement quelques années."
"Another quick example about sensing: it's not about people, but about things we use and consume.","Un autre exemple de détection rapide : il ne s'agit pas de personnes, mais de choses que nous utilisons et consommons."
"Well today, we know everything about where our objects come from.","Eh bien aujourd'hui, nous savons tout la provenance de nos objets."
"This is a map that shows you all the chips that form a Mac computer, how they came together.","Ceci est une carte qui vous montre toutes les puces qui forment un ordinateur Mac, comment ils sont assemblés."
But we know very little about where things go.,Mais nous en savons très peu sur l'endroit où les choses vont.
"So in this project, we actually developed some small tags to track trash as it moves through the system.","Donc, dans ce projet, nous avons en fait élaboré des petites étiquettes pour suivre les ordures au fil de leur déplacements à travers le système."
"So we actually started with a number of volunteers who helped us in Seattle, just over a year ago, to tag what they were throwing away — different types of things, as you can see here — things they would throw away anyway.","Donc nous avons commencé avec un certain nombre de bénévoles qui nous ont aidés à Seattle, il y a à peine un an, pour mettre des puces sur ce qu'ils jetaient - différents types de choses, comme vous pouvez le voir ici - des choses qu'ils jetaient de toute façon."
"Then we put a little chip, little tag, onto the trash and then started following it.","Ensuite, nous avons mis une petite puce, une petite étiquette, sur le déchet puis nous avons commencé à le suivre."
Here are the results we just obtained.,Voici les résultats que nous venons d'obtenir.
(Music),(Musique)
From Seattle... after one week.,De Seattle... après une semaine.
With this information we realized there's a lot of inefficiencies in the system.,"Avec ces informations, nous nous sommes rendus compte qu'il y a beaucoup d'inefficacité dans le système."
We can actually do the same thing with much less energy.,Nous pouvons en fait faire la même chose avec beaucoup moins d'énergie.
This data was not available before.,Ces données n'étaient pas disponibles auparavant.
But there's a lot of wasted transportation and convoluted things happening.,Mais il y a beaucoup de gaspillage de transport et des choses compliquées qui se passent.
"But the other thing is that we believe that if we see every day that the cup we're throwing away, it doesn't disappear, it's still somewhere on the planet.","Mais l'autre chose est que nous croyons que si nous voyons tous les jours que le gobelet que nous jetons ne disparaît pas, il est toujours quelque part sur la planète."
And the plastic bottle we're throwing away every day still stays there.,Et la bouteille en plastique que nous jetons tous les jours reste toujours là.
"And if we show that to people, then we can also promote some behavioral change.","Et si nous montrons ça aux les gens, nous pouvons aussi promouvoir des changements de comportement."
So that was the reason for the project.,C'était donc la raison du projet.
"My colleague at MIT, Assaf Biderman, he could tell you much more about sensing and many other wonderful things we can do with sensing, but I wanted to go to the second part we discussed at the beginning, and that's actuating our environment.","Mon collègue du MIT, Assaf Biderman, il pourrait vous en dire beaucoup plus sur la détection et beaucoup d'autres choses merveilleuses que nous pouvons faire avec la détection, mais je voulais passer à la deuxième partie dont nous avons discuté au début, et c'est l'actionnement de notre environnement."
